IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
188.164.158.35,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.10
45.67.215.144,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.10
188.164.159.160,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.10
104.129.165.101,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.10
167.68.11.150,2052,2052,false,SIN,Asia Pacific,Singapore,14,11.10
167.68.5.82,2052,2052,false,SIN,Asia Pacific,Singapore,8,11.10
104.129.166.87,2052,2052,false,SIN,Asia Pacific,Singapore,5,11.10
154.197.80.254,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.10
154.197.88.121,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.10
14.102.228.129,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.09
204.93.210.99,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.09
104.129.167.70,2052,2052,false,SIN,Asia Pacific,Singapore,3,11.09
79.99.29.104,2052,2052,false,SIN,Asia Pacific,Singapore,2,11.09
14.102.229.135,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.09
204.93.210.250,2052,2052,false,SIN,Asia Pacific,Singapore,16,11.08
14.102.228.150,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.08
156.238.18.101,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.07
89.116.46.204,2052,2052,false,SIN,Asia Pacific,Singapore,15,11.07
204.93.210.80,2052,2052,false,SIN,Asia Pacific,Singapore,15,11.07
154.197.75.126,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.07
45.67.215.201,2052,2052,false,SIN,Asia Pacific,Singapore,10,11.07
66.81.247.215,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.06
212.183.88.70,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.06
206.238.237.104,2052,2052,false,SIN,Asia Pacific,Singapore,2,11.06
160.79.104.145,2052,2052,false,SIN,Asia Pacific,Singapore,10,11.06
154.197.88.244,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.06
45.135.235.27,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.06
135.84.76.137,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.06
156.238.18.155,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.06
93.113.175.209,2052,2052,false,SIN,Asia Pacific,Singapore,15,11.06
185.16.110.46,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.06
160.79.104.9,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.06
198.62.62.227,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.06
185.133.35.65,2052,2052,false,SIN,Asia Pacific,Singapore,20,11.06
154.197.121.226,2052,2052,false,SIN,Asia Pacific,Singapore,9,11.05
160.123.255.95,2052,2052,false,SIN,Asia Pacific,Singapore,23,11.05
194.76.18.59,2052,2052,false,SIN,Asia Pacific,Singapore,3,11.05
47.245.26.167,2052,2052,false,NRT,Asia Pacific,Tokyo,81,11.05
176.124.223.123,2052,2052,false,SIN,Asia Pacific,Singapore,4,11.05
47.236.181.155,2052,2052,false,SIN,Asia Pacific,Singapore,5,11.05
192.0.54.24,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.04
79.99.29.110,2052,2052,false,SIN,Asia Pacific,Singapore,5,11.04
62.72.166.112,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.04
206.238.237.231,2052,2052,false,SIN,Asia Pacific,Singapore,42,11.04
14.102.228.231,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.04
185.16.110.15,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.04
188.164.159.166,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.03
176.124.223.216,2052,2052,false,SIN,Asia Pacific,Singapore,2,11.03
77.75.199.191,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.03
154.92.9.85,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.03
8.219.43.243,2052,2052,false,SIN,Asia Pacific,Singapore,4,11.03
45.67.215.165,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.03
63.141.128.85,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.03
192.0.63.235,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.03
89.116.161.5,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.02
14.102.228.62,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.02
204.93.210.60,2052,2052,false,SIN,Asia Pacific,Singapore,0,11.02
45.205.0.138,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.02
206.238.237.92,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.02
176.124.223.207,2052,2052,false,SIN,Asia Pacific,Singapore,3,11.02
154.197.121.210,2052,2052,false,SIN,Asia Pacific,Singapore,8,11.02
206.238.236.32,2052,2052,false,SIN,Asia Pacific,Singapore,4,11.02
154.219.5.13,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.02
160.79.104.204,2052,2052,false,SIN,Asia Pacific,Singapore,42,11.02
204.93.210.34,2052,2052,false,SIN,Asia Pacific,Singapore,13,11.01
206.238.236.85,2052,2052,false,SIN,Asia Pacific,Singapore,3,11.01
192.0.63.229,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.01
185.16.110.44,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.01
5.182.34.84,2052,2052,false,SIN,Asia Pacific,Singapore,7,11.01
45.135.235.151,2052,2052,false,SIN,Asia Pacific,Singapore,1,11.00
